name,price,status,shipping,free_returns,items_sold
2020 Apple MacBook Air M1 13in 8GB RAM 128GB MGN73LL/A 8 CPU 7GPU 95% BAT READ,27900,Pre-Owned,,True,
Apple MacBook Unibody 13.3” 2.26GHz intel Core 2 Duo 8GB RAM 256GB SSD,19900,Pre-Owned,,True,
"Apple MacBook Pro Core i9 2.4GHz 32GB RAM 512GB SSD 16"" MVVK2LL/A - Very Good",57299,Very Good - Refurbished,,True,
"Apple MacBook Pro 15.4"" Retina, Intel Core i7 2.3GHz, 512GB SSD, 16GB RAM, Good",19999,Good - Refurbished,,True,
Apple Macbook Pro 15 Laptop | Quad Core i7 + 8GB RAM + 256GB SSD | OS Catalina,17005,Pre-Owned,,True,
"Apple MacBook Air 13"" A1466 2017 Intel i5 1.80GHz 8GB RAM 128GB SSD macOS 12 C-G",12999,Good - Refurbished,,True,
"Apple MacBook Pro 15.4-Inch Intel Core i7, 32GB RAM, 1TB SSD, Space Grey",41900,Good - Refurbished,,True,
"Apple MacBook Air A1466 2012 13"" 1.8GHz i5 8GB RAM 120GB SSD macOS 10.15.7",8500,Pre-Owned,,True,
"Apple MacBook Pro 13in (256GB SSD, M1, 8GB) Laptop - Silver - MYDA2LL/A...",30000,Pre-Owned,3500,False,
"Apple MacBook Pro 15.4-Inch Intel Core i9 2.4GHz 32GB RAM, 1TB SSD, Space Gray",49900,Good - Refurbished,,True,
"15"" MacBook Pro 2019 Silver 2.3 i9 32GB 512GB SSD 560X Sequoia + Good + Warranty",43900,Good - Refurbished,,True,
"Apple MacBook Unibody A1342 13.3"" 2GB RAM, 250GB HDD, Intel 2.4GHz Core 2 Duo",4400,Pre-Owned,1934,False,
"Apple MacBook Pro 16'' 2019 Intel 8 Core i9 2.4GHz, 1TB SSD 64GB RAM, Silver",71599,Very Good - Refurbished,,True,
Apple MacBook Air 13” 1.6GHz Core i5 4gb RAM 128GB SSD MacOS Monterey,10000,Pre-Owned,,True,
"Apple MacBook Air 13"" M3 chip 16GB RAM 512GB SSD Space Gray MXCR3LL/A 2024 Model",89900,Open Box,,True,
New ListingApple MacBook Air 13-inch 2024 M3 / 8GB RAM / 256GB SSD / 8-Core GPU / Midnight,79900,Open Box,1507,False,
Apple MacBook Pro 13” Dual Core i5 16GB RAM | 1TB HD | Os Catalina | DVD Player,14900,Pre-Owned,,True,
"Apple MacBook Pro 15.4-Inch Intel Core i9, 32GB RAM, 512GB SSD, Space Grey",43900,Good - Refurbished,,True,
"EXCELLENT Apple 16"" MacBook Pro 2019/2020 16GB 512GB SSD 2.6 6-Core i7 OSX 2023",59900,Pre-Owned,,True,
"Apple MacBook Pro with Apple M1 Chip 13"", 8GB, 512GB - Space Gray",52999,Excellent - Refurbished,,True,
"Apple 2019 MacBook Air 13"" 1.6GHz Dual-Core i5 16GB RAM 128GB SSD - Fair",28999,Good - Refurbished,,True,
"15"" MacBook Pro 2017 Gray 2.9 i7 16GB 512GB SSD 560 Ventura + Warranty + Good",32200,Good - Refurbished,,True,
Apple MacBook Air 13 2020 M1 8-Core CPU 7-Core GPU 16GB 256GB Space Gray,52999,Very Good - Refurbished,,True,
"13"" Apple MacBook Air 512gb SSD 8gb 2.7Ghz i5 TURBO - Monterey - 3 Year WARRANTY",29900,Pre-Owned,,True,
"Apple MacBook Pro 15"" 1TB SSD 16GB RAM i7 Retina - Big Sur - 1 Year Warranty",39102,Pre-Owned,,True,
"Apple MacBook Air 13.3"" Core i5 8GB RAM 128GB SSD Silver MQD32LL/A In Retail Box",33495,Open Box,1420,False,
"MAXED!! Apple MacBook Air Retina 13"" + LOADED!! + 2023 OS + EXTRAS! + 256 GB SSD",64125,Pre-Owned,,True,
APPLE MACBOOK PRO 15 RETINA LAPTOP | QUAD CORE i7 | 16GB + 256GB SSD | WARRANTY,22900,Pre-Owned,,True,
"New Listing2015 Apple MacBook Pro 13"" Retina/ 2.9 Ghz i5 / 16GB / 512GB SSD. Os Monterey",17999,Pre-Owned,,False,
"Apple MacBook Pro 13"" | 2015 3.1 i7 16GB 256GB SSD MF843LL/A Refurbished - Good",22900,Good - Refurbished,,True,
"Apple MacBook Pro 15"" Retina / Quad Core i7 /16GB/256GB SSD HD. Big Sur. Grade C",17900,Pre-Owned,,True,
"Apple Macbook Pro 13"" Laptop - i5 2.5GHZ 8GB 256GB SSD - OS Catalina + Warranty",13900,Pre-Owned,,True,
New ListingApple MacBook Pro 15 inch 2018 A1990 (512 GB SSD Intel Core i7 2.6GHz 16GB RAM,33000,Pre-Owned,1021,False,
"Apple MacBook Air 13"" M3 chip 16GB RAM 256GB SSD Silver MC8H4LL/A 2024 Model",79900,Open Box,,True,
Apple Macbook Pro 13.3” 2.5GHz intel Core i5 16GB RAM-500GBHDD Turbo🔥,22500,Pre-Owned,,False,
"Apple 13.3"" MacBook Air Core i5 1.6GHz 8GB RAM 256GB SSD MMGG2LL/A In Retail Box",35995,Open Box,1331,False,
New ListingApple MacBook Pro 2023 16 Inch - M3 Max 16‑core/40-core GPU - 64GB RAM / 4TB SSD,190000,Pre-Owned,1086,False,
"Apple MacBook Pro 13"" Laptop Touch Bar 256GB SSD Warranty 2017/2020",40850,Pre-Owned,,True,
"2020 Apple MacBook Air 13"" i3 1.1GHz/8GB/128GB SSD (Space Gray) A2179",27999,Pre-Owned,,True,
New ListingMACBOOK PRO 2017 A1708 FAIR SHAPE EVERYTHING WORKS!,16000,Pre-Owned,2515,False,
"Apple MacBook 12"" - Core m3 | m5 | m7 - 8GB RAM - 256GB | 512GB SSD - Excellent",21370,Excellent - Refurbished,,True,
